2017-18 Rank,Rank in the most recent five years,Trend,School Name,City,2017-18 Rating,2017-18 Rating by Percent,Rating in the most recent five years,Waterloo Adjustment,,
29/738,20/625,NO CHANGE,Earl of March,Kanata,8.5,85.00%,8.6,10.5,97.70%,91.35%
3/738,2/625,NO CHANGE,Colonel By,Gloucester,9.6,96.00%,9.3,11.7,90.80%,93.40%
32/738,35/625,NO CHANGE,All Saints,Kanata,8.4,84.00%,8.2,10.5,97.70%,90.85%
20/738,9/625,NO CHANGE,Pierre Elliott Trudeau,Markham,8.7,87.00%,8.9,10.9,95.40%,91.20%
117/738,148/625,NO CHANGE,Northview Heights,Toronto,7.6,76.00%,7.2,10.1,100.00%,88.00%
84/738,29/625,NO CHANGE,Lawrence Park,Toronto,7.8,78.00%,8.4,10.4,98.28%,88.14%
75/738,n/a,NO CHANGE,Nepean,Ottawa,7.9,79.00%,n/a,10.7,96.55%,87.78%
20/738,3/625,NO CHANGE,London Central,London,8.7,87.00%,9,11.5,91.95%,89.48%
84/738,75/625,NO CHANGE,Guelph,Guelph,7.8,78.00%,7.7,10.6,97.13%,87.56%
133/738,75/625,DOWNTREND,Dr Norman Bethune,Toronto,7.5,75.00%,7.7,10.4,98.28%,86.64%
49/738,57/625,NO CHANGE,Agincourt,Toronto,8.1,81.00%,7.9,11.1,94.25%,87.63%
49/738,39/625,NO CHANGE,Elmira,Elmira,8.1,81.00%,8.1,11.2,93.68%,87.34%
186/738,148/625,NO CHANGE,Don Mills,Toronto,7.2,72.00%,7.2,10.3,98.85%,85.43%
49/738,100/625,NO CHANGE,Milliken Mills,Unionville,8.1,81.00%,7.5,11.4,92.53%,86.76%
75/738,39/625,DOWNTREND,Vincent Massey,Windsor,7.9,79.00%,8.1,11.3,93.10%,86.05%
24/738,12/625,NO CHANGE,Richmond Hill,Richmond Hill,8.6,86.00%,8.8,12.3,87.36%,86.68%
7/738,3/625,NO CHANGE,Markville,Markham,9.2,92.00%,9,13,83.33%,87.67%
24/738,n/a,NO CHANGE,Lisgar,Ottawa,8.6,86.00%,n/a,12.4,86.78%,86.39%
10/738,3/625,NO CHANGE,St Theresa of Lisieux,Richmond Hill,9.1,91.00%,9,13.1,82.76%,86.88%
38/738,29/625,NO CHANGE,Centennial,Guelph,8.3,83.00%,8.4,12.3,87.36%,85.18%
248/738,148/625,NO CHANGE,Sir John A Macdonald,Toronto,6.9,69.00%,7.2,10.9,95.40%,82.20%
325/738,246/625,NO CHANGE,Bell,Nepean,6.4,64.00%,6.6,10.4,98.28%,81.14%
45/738,n/a,NO CHANGE,A Y Jackson,Toronto,8.2,82.00%,n/a,12.5,86.21%,84.10%
13/738,9/625,NO CHANGE,Unionville,Unionville,8.9,89.00%,8.9,13.3,81.61%,85.30%
164/738,114/625,NO CHANGE,Milton,Milton,7.3,73.00%,7.4,11.8,90.23%,81.61%
164/738,n/a,NO CHANGE,Stephen Lewis,Mississauga,7.3,73.00%,n/a,12,89.08%,81.04%
14/738,14/625,NO CHANGE,William Lyon Mackenzie,Toronto,8.8,88.00%,8.7,13.6,79.89%,83.94%
6/738,3/625,NO CHANGE,St Robert,Thornhill,9.3,93.00%,9,14.2,76.44%,84.72%
75/738,49/625,NO CHANGE,Thornhill,Thornhill,7.9,79.00%,8,12.9,83.91%,81.45%
225/738,n/a,NO CHANGE,Streetsville,Mississauga,7,70.00%,n/a,12,89.08%,79.54%
148/738,35/625,NO CHANGE,St Aloysius Gonzaga,Mississauga,7.4,74.00%,8.2,12.7,85.06%,79.53%
133/738,49/625,NO CHANGE,Newmarket,Newmarket,7.5,75.00%,8,12.9,83.91%,79.45%
248/738,n/a,NO CHANGE,Pickering,Ajax,6.9,69.00%,n/a,12.5,86.21%,77.60%
62/738,75/625,NO CHANGE,Markham,Markham,8,80.00%,7.7,13.7,79.31%,79.66%
266/738,246/625,NO CHANGE,Marc Garneau,Toronto,6.8,68.00%,6.6,12.8,84.48%,76.24%
164/738,114/625,NO CHANGE,Northern,Toronto,7.3,73.00%,7.4,13.4,81.03%,77.02%
373/738,202/625,NO CHANGE,Martingrove,Toronto,6.2,62.00%,6.9,12.4,86.78%,74.39%
286/738,n/a,NO CHANGE,Sinclair,Whitby,6.6,66.00%,n/a,12.8,84.48%,75.24%
1/738,n/a,NO CHANGE,Havergal,Toronto,10,100.00%,n/a,16.3,64.37%,82.18%
2/738,n/a,NO CHANGE,Wali ul Asr,Caledon,9.9,99.00%,n/a,16.3,64.37%,81.68%
3/738,1/625,NO CHANGE,St Michael's Choir,Toronto,9.6,96.00%,9.5,16.3,64.37%,80.18%
3/738,3/625,UPTREND,Ursula Franklin,Toronto,9.6,96.00%,9,16.3,64.37%,80.18%
204/738,202/625,NO CHANGE,Orchard Park,Stoney Creek,7.1,71.00%,6.9,13.8,78.74%,74.87%
186/738,90/625,NO CHANGE,Waterloo,Waterloo,7.2,72.00%,7.6,14,77.59%,74.79%
634/738,519/625,NO CHANGE,York Memorial,Toronto,4.2,42.00%,4.6,11.1,94.25%,68.13%
7/738,3/625,NO CHANGE,Oakville Trafalgar,Oakville,9.2,92.00%,9,16.3,64.37%,78.18%
7/738,20/625,NO CHANGE,North Toronto,Toronto,9.2,92.00%,8.6,16.3,64.37%,78.18%
